measurement	processing_type	filename	filepath	direct_sound_arrival_ms	lf_early	lf_late	dr_ratio
4	ambi	Soundfield 2-03.wav,Soundfield 3-03.wav,Soundfield 4-03.wav,Soundfield 1-03.wav	Soundfield 2-03.wav,Soundfield 3-03.wav,Soundfield 4-03.wav,Soundfield 1-03.wav	0	0.4033832420969723	0.26133109652890313	-73.71857033327633
5	omni	Earthworks 1-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 1-03.wav	0.0			-62.723982550277206
5	omni	Earthworks 10-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 10-03.wav	0.0			-68.88772319627189
5	omni	Earthworks 11-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 11-03.wav	0.0			-71.41482762238299
5	omni	Earthworks 12-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 12-03.wav	0.0			-68.17388128450915
5	omni	Earthworks 13-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 13-03.wav	0.0			-inf
5	omni	Earthworks 14-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 14-03.wav	0.0			-67.08432185268234
5	omni	Earthworks 2-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 2-03.wav	0.0			-66.4537998218721
5	omni	Earthworks 3-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 3-03.wav	0.0			-inf
5	omni	Earthworks 4-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 4-03.wav	0.0			-74.48315611148467
5	omni	Earthworks 5-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 5-03.wav	0.0			-70.19383475531822
5	omni	Earthworks 6-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 6-03.wav	0.0			-inf
5	omni	Earthworks 7-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 7-03.wav	0.0			-67.27492723805568
5	omni	Earthworks 8-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 8-03.wav	0.0			-inf
5	omni	Earthworks 9-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 9-03.wav	0.0			-67.00766791718965
5	ambi	Soundfield 2-03.wav,Soundfield 3-03.wav,Soundfield 4-03.wav,Soundfield 1-03.wav	Soundfield 2-03.wav,Soundfield 3-03.wav,Soundfield 4-03.wav,Soundfield 1-03.wav	0	0.3502985366066811	0.26961309742719936	-inf
6	omni	Earthworks 1-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion6/Earthworks 1-03.wav	0.0			-69.43347286357123
6	omni	Earthworks 2-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion6/Earthworks 2-03.wav	0.0			-66.1767666057801
6	omni	Earthworks 3-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion6/Earthworks 3-03.wav	0.0			-69.8851802561909
6	omni	Earthworks 4-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion6/Earthworks 4-03.wav	0.0			-68.91978089939377
7	omni	Earthworks 1-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion7/Earthworks 1-03.wav	0.0			-75.96798388989858
7	omni	Earthworks 2-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion7/Earthworks 2-03.wav	0.0			-65.15866914614622
7	omni	Earthworks 3-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion7/Earthworks 3-03.wav	0.0			-70.67704077628942
7	omni	Earthworks 4-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion7/Earthworks 4-03.wav	0.0			-69.21515521210236
1	omni	Earthworks 1-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion1/Earthworks 1-03.wav	0.0			-56.65249640338915
